a[27],b[18],c[48],result[27]
1968000,35180,0000190e7efa,7f75685
52d8000,30940,0000190e7efa,015c25e
78b0000,02ac0,0000190e7efa,7ff62e9
07e0000,23f00,0000190e7efa,7f91747
14d8000,0f300,0000190e7efa,009e3bb
6ab8000,13b80,0000190e7efa,7f2e219
6e80000,310c0,0000190e7efa,0082ca7
7408000,19d00,0000190e7efa,7f657ab
1308000,13900,0000190e7efa,00ba19b
0ab0000,30f00,0000190e7efa,7faf75f
71f8000,0c8c0,0000190e7efa,7fa7ed4
6e30000,2a740,0000190e7efa,00bfda5
5738000,0a080,0000190e7efa,7f33685
07a0000,10740,0000190e7efa,003eadb
6370000,2fc00,0000190e7efa,00e8057
60a0000,1ae00,0000190e7efa,7e5a597
0218000,09480,0000190e7efa,0009aad
7b38000,1c8c0,0000190e7efa,7fbbb4c
3190000,1dc40,0000190e7efa,02e1949
57d8000,30340,0000190e7efa,013d1f6
5668000,2e740,0000190e7efa,016cdf0
7398000,3d4c0,0000190e7efa,0010b80
6120000,11900,0000190e7efa,7ef0d47
7900000,0c540,0000190e7efa,7fd4cd7
23a8000,1b5c0,0000190e7efa,01e7b7a
5238000,22540,0000190e7efa,02a728a
2d70000,3ea40,0000190e7efa,7fe1115
3240000,0d380,0000190e7efa,014c127
79e8000,088c0,0000190e7efa,7fe5e8e
0620000,3fec0,0000190e7efa,7fffb63
5fb8000,3b740,0000190e7efa,0049572
1ee8000,08740,0000190e7efa,0082940
4730000,23fc0,0000190e7efa,031bc51
3068000,3ff00,0000190e7efa,7ffe703
65b0000,2d880,0000190e7efa,00f2ee3
04f0000,19700,0000190e7efa,003ebff
1bc0000,32400,0000190e7efa,7f412b7
4810000,09140,0000190e7efa,7f020c1
5418000,2af00,0000190e7efa,01ce56b
03e8000,29e40,0000190e7efa,7fd4c4c
1848000,1e940,0000190e7efa,0173304
6570000,23900,0000190e7efa,0179a2f
2d68000,2a200,0000190e7efa,7e0f51f
2f30000,2dbc0,0000190e7efa,7e50ff1
3f68000,3ca00,0000190e7efa,7f94f3f
02d8000,3eec0,0000190e7efa,7ffe6b0
0b10000,33440,0000190e7efa,7fb9839
4190000,15140,0000190e7efa,7d6deb1
76b0000,3f8c0,0000190e7efa,00020f9
7490000,095c0,0000190e7efa,7fca6d5
0b70000,2bf40,0000190e7efa,7f8d4ed
07d0000,160c0,0000190e7efa,0056125
0c20000,07bc0,0000190e7efa,002ed73
2968000,28080,0000190e7efa,7e0fb91
6160000,35480,0000190e7efa,00a414f
6528000,08d00,0000190e7efa,7f89abb
70f0000,2c680,0000190e7efa,0093843
5178000,1f880,0000190e7efa,7d225b5
4d30000,04b40,0000190e7efa,7f88765
37a8000,1d740,0000190e7efa,0333938
56b8000,135c0,0000190e7efa,7e705c8
4038000,02740,0000190e7efa,7fb1b82
4b90000,208c0,0000190e7efa,03389cd
53b0000,14180,0000190e7efa,7e42bfb
5380000,396c0,0000190e7efa,0092507
5540000,29440,0000190e7efa,01e5e5f
5778000,28600,0000190e7efa,01deb9f
4ca8000,21580,0000190e7efa,0312f45
6240000,06d80,0000190e7efa,7f9a267
5958000,0f280,0000190e7efa,7edb025
04b8000,3ed40,0000190e7efa,7ffd2fa
2c80000,37d80,0000190e7efa,7f4a797
2e48000,06dc0,0000190e7efa,009eae6
7c70000,24dc0,0000190e7efa,00304b9
04a8000,2ae40,0000190e7efa,7fcece4
6a78000,38a40,0000190e7efa,004f2de
3798000,35440,0000190e7efa,7ed591a
6798000,258c0,0000190e7efa,0142c30
51c0000,0d540,0000190e7efa,7ecbbcf
4688000,38640,0000190e7efa,00da9a0
4a70000,3d400,0000190e7efa,0049997
3150000,27640,0000190e7efa,7da12d1
29d0000,2b740,0000190e7efa,7e52649
4e28000,22c80,0000190e7efa,02d8231
3aa0000,36780,0000190e7efa,7ee890f
0cb8000,0e740,0000190e7efa,005bdd2
2928000,3fdc0,0000190e7efa,7ffd0ea
0c28000,25f40,0000190e7efa,7f61a28
40a0000,2e580,0000190e7efa,022f6ef
7278000,13a80,0000190e7efa,7f7af6d
0650000,16a80,0000190e7efa,004775b
55a0000,069c0,0000190e7efa,7f73ea3
12d8000,01180,0000190e7efa,000a419
4a88000,11480,0000190e7efa,7e31f29
09c0000,39440,0000190e7efa,7fdf1ef
0c60000,23a80,0000190e7efa,7f5092f
76d8000,16f80,0000190e7efa,7f96cc1
55b8000,0a700,0000190e7efa,7f234bb
7840000,021c0,0000190e7efa,7ff7c6f
22a0000,28d40,0000190e7efa,7e6ec9b
20f8000,3fa80,0000190e7efa,7ffa48d
6060000,29480,0000190e7efa,016730f
3018000,08800,0000190e7efa,00cc597
3940000,366c0,0000190e7efa,7eedc6f
0f58000,1a240,0000190e7efa,00c87fa
6958000,3fb80,0000190e7efa,0003231
0198000,34300,0000190e7efa,7ff689b
0798000,260c0,0000190e7efa,7f9d690
37d8000,365c0,0000190e7efa,7ef2c44
5ca8000,35180,0000190e7efa,00c0af5
2f38000,04f40,0000190e7efa,0074e42
4a58000,226c0,0000190e7efa,03197a0
7f70000,31b40,0000190e7efa,0003f8d
4cf8000,0cf00,0000190e7efa,7eb5d7b
7300000,0ef00,0000190e7efa,7f9edb7
4d38000,1be40,0000190e7efa,7d3bca6
6d98000,36780,0000190e7efa,0057ab1
4730000,30400,0000190e7efa,01bf597
7ee0000,0f8c0,0000190e7efa,7ff734b
5888000,3cc40,0000190e7efa,003fc78
5af8000,114c0,0000190e7efa,7ebfb04
1ba0000,1c2c0,0000190e7efa,0185133
7df8000,1ac00,0000190e7efa,7fe4c87
4070000,120c0,0000190e7efa,7dc2661
1c40000,07180,0000190e7efa,0064267
1748000,13700,0000190e7efa,00e2373
6020000,1aa00,0000190e7efa,7e579d7
3698000,3ba40,0000190e7efa,7f88f42
29a0000,1aac0,0000190e7efa,022b0f3
0ce8000,02d80,0000190e7efa,00124d5
4318000,3cc80,0000190e7efa,0061f8d
68c0000,1a5c0,0000190e7efa,7ecd85f
1298000,06e40,0000190e7efa,0040032
3938000,0e540,0000190e7efa,0199dea
45a8000,339c0,0000190e7efa,016968a
0c80000,11a40,0000190e7efa,006e347
22f8000,07ec0,0000190e7efa,008a75c
05f0000,13380,0000190e7efa,003901b
47a0000,28c80,0000190e7efa,028e6df
7680000,11180,0000190e7efa,7faec17
3a50000,0f640,0000190e7efa,01c0af1
7370000,221c0,0000190e7efa,00bbb39
5d68000,19900,0000190e7efa,7e45ccb
2a20000,16740,0000190e7efa,01d8deb
1700000,1c240,0000190e7efa,0143917
5fc8000,0af40,0000190e7efa,7f4f80c
69a8000,29040,0000190e7efa,0100bac
6368000,0ffc0,0000190e7efa,7f1b6ca
0e88000,39140,0000190e7efa,7fcda8c
62a8000,34880,0000190e7efa,00a8381
0690000,07600,0000190e7efa,0018267
3738000,00dc0,0000190e7efa,0017ad8
2450000,1bac0,0000190e7efa,01f65e5
3128000,2ec80,0000190e7efa,7e58bf1
4720000,05c00,0000190e7efa,7f5c6f7
1bb0000,1a440,0000190e7efa,016b90d
2df8000,3e500,0000190e7efa,7fd92a3
0758000,14780,0000190e7efa,004b1c1
6338000,37100,0000190e7efa,0080913
1e98000,06b00,0000190e7efa,00663fb
6020000,1c700,0000190e7efa,7e3aba7
02a8000,2c2c0,0000190e7efa,7fe59de
37f0000,2df00,0000190e7efa,7e06c3f
4b40000,15c40,0000190e7efa,7dc1e1f
00d0000,18940,0000190e7efa,0009ef9
06b0000,0a840,0000190e7efa,00231cd
4268000,35480,0000190e7efa,014a0e1
2170000,18900,0000190e7efa,019a9af
13d8000,04140,0000190e7efa,002869e
2500000,1dac0,0000190e7efa,0224e17
6b48000,11900,0000190e7efa,7f4a03b
4e90000,19540,0000190e7efa,7d8ddf1
1668000,03cc0,0000190e7efa,002a7ce
46f0000,0fa40,0000190e7efa,7e41b45
6c88000,36f40,0000190e7efa,0058044
4ab0000,2ea40,0000190e7efa,01ceafd
50a8000,21980,0000190e7efa,02cfb95
4c70000,32f00,0000190e7efa,0150b7f
5730000,2b480,0000190e7efa,01a6be3
3608000,1e340,0000190e7efa,032fe84
7ec8000,02c00,0000190e7efa,7ffe467
6458000,20100,0000190e7efa,01b9963
6eb8000,0bbc0,0000190e7efa,7f9a8f0
32a0000,10180,0000190e7efa,019752f
5fd8000,3ee40,0000190e7efa,0011c9a
47e0000,2c280,0000190e7efa,022cd0f
7958000,3dc80,0000190e7efa,000755d
1318000,37f80,0000190e7efa,7fb3471
4ed0000,138c0,0000190e7efa,7e1f385
41d0000,1d440,0000190e7efa,7c71f91
53e8000,0dac0,0000190e7efa,7ed2876
6578000,0dcc0,0000190e7efa,7f48ed4
60c8000,3cc80,0000190e7efa,0032319
36e8000,06440,0000190e7efa,00abf64
5bd0000,0cb00,0000190e7efa,7f1a62f
6c58000,3b400,0000190e7efa,002ea27
3f28000,39600,0000190e7efa,7f2ebef
0b80000,24a00,0000190e7efa,7f628b7
7098000,2f880,0000190e7efa,007ecfd
70f0000,26280,0000190e7efa,00c2963
7950000,11e80,0000190e7efa,7fc413b
7498000,226c0,0000190e7efa,00a8a38
7e28000,29640,0000190e7efa,0014cb4
6188000,31bc0,0000190e7efa,00d9476
2980000,20600,0000190e7efa,7d6fbb7
12a8000,32a40,0000190e7efa,7f83554
4a28000,22240,0000190e7efa,0323d24
5fd8000,24c80,0000190e7efa,01b593d
38a8000,136c0,0000190e7efa,022622e
2570000,2c200,0000190e7efa,7e8bea7
5b80000,3a940,0000190e7efa,0062e67
4718000,12440,0000190e7efa,7df83ca
7e00000,2d140,0000190e7efa,0012df7
26d8000,0a280,0000190e7efa,00c5345
22a0000,1fd80,0000190e7efa,02273ef
3c70000,3a640,0000190e7efa,7f56715
3f78000,00100,0000190e7efa,0001ef3
1ee0000,37000,0000190e7efa,7f75037
00d0000,29f40,0000190e7efa,7ff6fe9
4368000,2f100,0000190e7efa,02011ab
3818000,05800,0000190e7efa,009a357
5aa0000,33580,0000190e7efa,00ec76f
0ac0000,382c0,0000190e7efa,7fd5dff
5480000,3a0c0,0000190e7efa,00816e7
1398000,2f680,0000190e7efa,7f5d625
6460000,34040,0000190e7efa,00a57c3
4620000,10600,0000190e7efa,7e26197
72c8000,33d40,0000190e7efa,0050664
7b70000,256c0,0000190e7efa,003c951
1708000,2ef40,0000190e7efa,7f3ba54
1df8000,2ca40,0000190e7efa,7edddce
0828000,1d940,0000190e7efa,0078930
7b08000,061c0,0000190e7efa,7ff0c5e
6bb0000,04e40,0000190e7efa,7fce47d
4ec8000,12a80,0000190e7efa,7e34d51
3948000,03a80,0000190e7efa,0068ab1
2648000,07380,0000190e7efa,008a1f5
0f28000,37080,0000190e7efa,7fbbfc1
2a40000,029c0,0000190e7efa,003712f
3e60000,28780,0000190e7efa,7d2211f
0e10000,068c0,0000190e7efa,002dfbd
0688000,2b780,0000190e7efa,7fbce75
5db8000,16f80,0000190e7efa,7e76409
5e48000,2e000,0000190e7efa,012f6b7
6bf0000,0c040,0000190e7efa,7f876b5
67f8000,29ac0,0000190e7efa,010c3cc
4d40000,05600,0000190e7efa,7f778f7
3d88000,22100,0000190e7efa,7c66e7b
3a60000,264c0,0000190e7efa,7d11bdb
3af0000,1ec80,0000190e7efa,038b093
40d0000,1af40,0000190e7efa,7cac669
61f0000,13380,0000190e7efa,7edf11b
1198000,25800,0000190e7efa,7f16d57
4610000,3d300,0000190e7efa,00516cf
2b60000,29980,0000190e7efa,7e1a03f
4988000,28a40,0000190e7efa,027c210
7fd8000,08900,0000190e7efa,7fff483
6f18000,13080,0000190e7efa,7f5f13d
7388000,19200,0000190e7efa,7f634ff
11f8000,39900,0000190e7efa,7fc61d3
4890000,37140,0000190e7efa,00f7411
2fa8000,2ee80,0000190e7efa,7e68a39
5e20000,03a00,0000190e7efa,7fc28d7
4b48000,06a40,0000190e7efa,7f50e88
6880000,14440,0000190e7efa,7f11d47
2e08000,14e80,0000190e7efa,01e11f1
4960000,28c80,0000190e7efa,027a1cf
27e0000,1e200,0000190e7efa,0258917
6338000,18880,0000190e7efa,7e9eee5
67e8000,04640,0000190e7efa,7fcb0ec
0860000,3fb00,0000190e7efa,7ffea47
06a8000,1f2c0,0000190e7efa,0067b1e
6b58000,20980,0000190e7efa,0144519
6358000,1f340,0000190e7efa,7e40de6
3100000,29900,0000190e7efa,7dda3b7
67c8000,0bfc0,0000190e7efa,7f6ed3e
3b20000,06cc0,0000190e7efa,00c8e23
34b8000,09540,0000190e7efa,00f5d5a
59e0000,3f540,0000190e7efa,000cc23
1de8000,2e380,0000190e7efa,7ef610d
4488000,2eb80,0000190e7efa,0201cc5
1990000,38e00,0000190e7efa,7fa4e27
70b8000,07b80,0000190e7efa,7fc4f99
3ee0000,12600,0000190e7efa,02419d7
4f90000,25c40,0000190e7efa,027b509
0538000,27800,0000190e7efa,7fc0057
7808000,21d80,0000190e7efa,00781ad
5918000,3c840,0000190e7efa,0043bba
68e8000,15400,0000190e7efa,7f0a947
1f40000,30d00,0000190e7efa,7f12a57
37f0000,3a200,0000190e7efa,7f5ba27
44c0000,22880,0000190e7efa,0368f67
17b0000,1f340,0000190e7efa,0171835
4ee0000,1e2c0,0000190e7efa,7d1adab
3b20000,24140,0000190e7efa,7cc682b
1e00000,02200,0000190e7efa,001fd37
0780000,0e740,0000190e7efa,0036267
76b0000,37500,0000190e7efa,002866f
70f0000,0a3c0,0000190e7efa,7fb2df9
1ec8000,0c000,0000190e7efa,00b8a37
4ef8000,29180,0000190e7efa,0231831
7d00000,03ec0,0000190e7efa,7ffa117
60f8000,05bc0,0000190e7efa,7fa6fa8
2238000,2ddc0,0000190e7efa,7ec9938
26b8000,2bb40,0000190e7efa,7e77042
0d58000,05dc0,0000190e7efa,00270b4
7698000,00a40,0000190e7efa,7ffcf02
6198000,031c0,0000190e7efa,7fd0adc
75c0000,22ac0,0000190e7efa,009641f
5fe0000,2d7c0,0000190e7efa,01295bb
0d18000,22dc0,0000190e7efa,7f412bc
30c8000,18d80,0000190e7efa,025de7d
6520000,34b40,0000190e7efa,0097c0b
1450000,33380,0000190e7efa,7f7e243
15b8000,2d480,0000190e7efa,7f34ad5
7e28000,28540,0000190e7efa,0015c60
61e0000,06780,0000190e7efa,7f9e83f
7b28000,27140,0000190e7efa,003c4f0
5a60000,0e440,0000190e7efa,7ef3943
3958000,2a8c0,0000190e7efa,7d98d98
22c0000,10c80,0000190e7efa,0123867
0fe8000,2a240,0000190e7efa,7f5219c
6610000,099c0,0000190e7efa,7f83545
7908000,03d00,0000190e7efa,7ff2aab
4a88000,0a340,0000190e7efa,7eef2d4
15c8000,19240,0000190e7efa,0111bf8
1e78000,2b140,0000190e7efa,7ec1382
3b90000,2a440,0000190e7efa,7d78ac9
6bd0000,21080,0000190e7efa,01388ab
6238000,1b880,0000190e7efa,7e65fe5
2008000,34c80,0000190e7efa,7f4c469
7848000,3f880,0000190e7efa,0001c29
3de8000,10100,0000190e7efa,01f122b
0010000,3a180,0000190e7efa,7fffc43
3800000,03380,0000190e7efa,005a137
4d38000,1cc00,0000190e7efa,7d25f87
2a60000,3f2c0,0000190e7efa,7fee67b
27b8000,3f780,0000190e7efa,7ff5669
6a10000,31380,0000190e7efa,00a2153
7f18000,11100,0000190e7efa,7ff8383
10a8000,22f00,0000190e7efa,7f0dea3
0a18000,36780,0000190e7efa,7fcfd91
3b00000,3ccc0,0000190e7efa,7fa1757
7138000,06640,0000190e7efa,7fd0b86
0b38000,01500,0000190e7efa,0007503
5fb8000,14840,0000190e7efa,7eb4d0e
36f0000,17440,0000190e7efa,027f075
2080000,22380,0000190e7efa,7e1c017
0888000,24f40,0000190e7efa,7f8c944
4d38000,35240,0000190e7efa,0113ad6
1718000,07a40,0000190e7efa,00582d2
4120000,05540,0000190e7efa,7f5872b
3540000,00640,0000190e7efa,000a59f
78f0000,2c540,0000190e7efa,00456ad
37e0000,09d80,0000190e7efa,0112f5f
35f8000,27280,0000190e7efa,7d618ed
2a80000,3ab40,0000190e7efa,7f8f647
0870000,2a6c0,0000190e7efa,7fa4eb1
1be8000,0e3c0,0000190e7efa,00c690a
2928000,2dd80,0000190e7efa,7e8a545
3048000,0e600,0000190e7efa,015af8f
4548000,32640,0000190e7efa,018f838
7f80000,01e80,0000190e7efa,7fff797
6c20000,01880,0000190e7efa,7ff0bbf
5d08000,00880,0000190e7efa,7ff6a99
29c0000,36080,0000190e7efa,7f2fda7
4f78000,318c0,0000190e7efa,015eaa4
4348000,26500,0000190e7efa,030bceb
7c70000,2e6c0,0000190e7efa,001f431
16b8000,23fc0,0000190e7efa,7ec1b60
7220000,36c00,0000190e7efa,00401f7
3c38000,27c40,0000190e7efa,7d2644e
10b0000,1a200,0000190e7efa,00d9ee7
5960000,23840,0000190e7efa,02260e3
51d0000,0b000,0000190e7efa,7f01eb7
3c40000,19300,0000190e7efa,02f6b97
1c78000,2eac0,0000190e7efa,7f094bc
6d40000,27180,0000190e7efa,00e9727
6678000,20280,0000190e7efa,019674d
0f28000,17fc0,0000190e7efa,00b5b52
0628000,21280,0000190e7efa,7fa1029
